2026-01-23 00:12:33 - Starting image fetch
2026-01-23 00:12:33 - Total sites to process: 5906
2026-01-23 03:45:41 - Progress: 5600/5906 - OK:1306 Skip:4258
2026-01-23 03:48:17 - Progress: 5700/5906 - OK:4322 Skip:1124
2026-01-23 03:48:17 - Progress: 5700/5906 - OK:4310 Skip:1138
2026-01-23 03:48:26 - Progress: 5700/5906 - OK:1321 Skip:4343
2026-01-23 03:51:41 - Progress: 5800/5906 - OK:4376 Skip:1169
2026-01-23 03:51:41 - Progress: 5800/5906 - OK:4386 Skip:1157
2026-01-23 03:51:48 - Progress: 5800/5906 - OK:1340 Skip:4423
2026-01-23 03:55:38 - Progress: 5900/5906 - OK:4468 Skip:1173
2026-01-23 03:55:38 - Progress: 5900/5906 - OK:4459 Skip:1184
2026-01-23 03:55:39 - Progress: 5900/5906 - OK:1366 Skip:4497
2026-01-23 03:55:51 - COMPLETE - Success:4464 Skipped:1185 Failed:231
2026-01-23 03:55:51 - COMPLETE - Success:4473 Skipped:1174 Failed:233
2026-01-23 03:56:03 - COMPLETE - Success:1368 Skipped:4501 Failed:14
